"","Lat_grid","Lon_grid","Site.ID","Site.Name","Latitude","Longitude","Elevation","Collection.month","Collection.year","Source","Temp.July","Temp.Aug","Temp.Sept","Temp.Oct","Temp.Nov","Temp.Dec","Prec.Jan","Prec.Feb","Prec.Mar","Prec.Apr","Prec.May","Prec.June","Prec.July","Prec.Dec","Sun.Jan","Sun.Feb","Sun.Mar","Sun.Apr","Sun.May","Sun.June","Sun.July","Sun.Aug","Sun.Sep","Sun.Oct","Sun.Nov","Sun.Dec","MTCO","MAT","MI","alpha","GDD0","mGDD0","PAR0","mPAR0"
"1",42.875,118.485,1,"NECTS01",42.87513333,118.48335,1024,8,2006,"Wang et al. (2018)",20.4,18.77,12.59,5.74,-4.08,-10.17,1.86,3.41,7.99,11.21,33.49,67.3,119.33,1.99,74.52,71.5,72.11,65.8,63.27,59.14,56.45,59.14,67.41,71.97,71.25,70.38,-13.33,4.526,0.503,0.595,2859.817,12.882,8158.82,36.751
"2",42.875,118.485,1,"NECTS01",42.87513333,118.48335,1024,8,2006,"Wang et al. (2018)",20.4,18.77,12.59,5.74,-4.08,-10.17,1.86,3.41,7.99,11.21,33.49,67.3,119.33,1.99,74.52,71.5,72.11,65.8,63.27,59.14,56.45,59.14,67.41,71.97,71.25,70.38,-13.33,4.526,0.503,0.595,2859.817,12.882,8158.82,36.751
"3",42.875,118.485,1,"NECTS01",42.87513333,118.48335,1024,8,2006,"Wang et al. (2018)",20.4,18.77,12.59,5.74,-4.08,-10.17,1.86,3.41,7.99,11.21,33.49,67.3,119.33,1.99,74.52,71.5,72.11,65.8,63.27,59.14,56.45,59.14,67.41,71.97,71.25,70.38,-13.33,4.526,0.503,0.595,2859.817,12.882,8158.82,36.751
"4",42.875,118.485,1,"NECTS01",42.87513333,118.48335,1024,8,2006,"Wang et al. (2018)",20.4,18.77,12.59,5.74,-4.08,-10.17,1.86,3.41,7.99,11.21,33.49,67.3,119.33,1.99,74.52,71.5,72.11,65.8,63.27,59.14,56.45,59.14,67.41,71.97,71.25,70.38,-13.33,4.526,0.503,0.595,2859.817,12.882,8158.82,36.751
"5",42.875,118.485,1,"NECTS01",42.87513333,118.48335,1024,8,2006,"Wang et al. (2018)",20.4,18.77,12.59,5.74,-4.08,-10.17,1.86,3.41,7.99,11.21,33.49,67.3,119.33,1.99,74.52,71.5,72.11,65.8,63.27,59.14,56.45,59.14,67.41,71.97,71.25,70.38,-13.33,4.526,0.503,0.595,2859.817,12.882,8158.82,36.751
"6",42.875,118.485,1,"NECTS01",42.87513333,118.48335,1024,8,2006,"Wang et al. (2018)",20.4,18.77,12.59,5.74,-4.08,-10.17,1.86,3.41,7.99,11.21,33.49,67.3,119.33,1.99,74.52,71.5,72.11,65.8,63.27,59.14,56.45,59.14,67.41,71.97,71.25,70.38,-13.33,4.526,0.503,0.595,2859.817,12.882,8158.82,36.751
"7",42.875,118.485,1,"NECTS01",42.87513333,118.48335,1024,8,2006,"Wang et al. (2018)",20.4,18.77,12.59,5.74,-4.08,-10.17,1.86,3.41,7.99,11.21,33.49,67.3,119.33,1.99,74.52,71.5,72.11,65.8,63.27,59.14,56.45,59.14,67.41,71.97,71.25,70.38,-13.33,4.526,0.503,0.595,2859.817,12.882,8158.82,36.751
"8",42.875,118.485,1,"NECTS01",42.87513333,118.48335,1024,8,2006,"Wang et al. (2018)",20.4,18.77,12.59,5.74,-4.08,-10.17,1.86,3.41,7.99,11.21,33.49,67.3,119.33,1.99,74.52,71.5,72.11,65.8,63.27,59.14,56.45,59.14,67.41,71.97,71.25,70.38,-13.33,4.526,0.503,0.595,2859.817,12.882,8158.82,36.751
"9",42.875,118.485,1,"NECTS01",42.87513333,118.48335,1024,8,2006,"Wang et al. (2018)",20.4,18.77,12.59,5.74,-4.08,-10.17,1.86,3.41,7.99,11.21,33.49,67.3,119.33,1.99,74.52,71.5,72.11,65.8,63.27,59.14,56.45,59.14,67.41,71.97,71.25,70.38,-13.33,4.526,0.503,0.595,2859.817,12.882,8158.82,36.751
"10",42.875,118.485,1,"NECTS01",42.87513333,118.48335,1024,8,2006,"Wang et al. (2018)",20.4,18.77,12.59,5.74,-4.08,-10.17,1.86,3.41,7.99,11.21,33.49,67.3,119.33,1.99,74.52,71.5,72.11,65.8,63.27,59.14,56.45,59.14,67.41,71.97,71.25,70.38,-13.33,4.526,0.503,0.595,2859.817,12.882,8158.82,36.751
"11",42.875,118.485,1,"NECTS01",42.87513333,118.48335,1024,8,2006,"Wang et al. (2018)",20.4,18.77,12.59,5.74,-4.08,-10.17,1.86,3.41,7.99,11.21,33.49,67.3,119.33,1.99,74.52,71.5,72.11,65.8,63.27,59.14,56.45,59.14,67.41,71.97,71.25,70.38,-13.33,4.526,0.503,0.595,2859.817,12.882,8158.82,36.751
"12",42.875,118.485,1,"NECTS01",42.87513333,118.48335,1024,8,2006,"Wang et al. (2018)",20.4,18.77,12.59,5.74,-4.08,-10.17,1.86,3.41,7.99,11.21,33.49,67.3,119.33,1.99,74.52,71.5,72.11,65.8,63.27,59.14,56.45,59.14,67.41,71.97,71.25,70.38,-13.33,4.526,0.503,0.595,2859.817,12.882,8158.82,36.751
"23",43.645,119.025,2,"NECTS02",43.64286667,119.0204667,781,8,2006,"Wang et al. (2018)",21.39,19.61,13.16,5.58,-4.79,-11.07,1.55,2.69,6.64,10.62,29.2,67.97,119.43,1.54,74.87,73.01,71.53,65.49,63.3,58.77,55.51,59.72,67.62,73,71.18,71.04,-14.16,4.607,0.481,0.573,2975.882,13.466,8087.906,36.597
"24",43.645,119.025,2,"NECTS02",43.64286667,119.0204667,781,8,2006,"Wang et al. (2018)",21.39,19.61,13.16,5.58,-4.79,-11.07,1.55,2.69,6.64,10.62,29.2,67.97,119.43,1.54,74.87,73.01,71.53,65.49,63.3,58.77,55.51,59.72,67.62,73,71.18,71.04,-14.16,4.607,0.481,0.573,2975.882,13.466,8087.906,36.597
"25",43.645,119.025,2,"NECTS02",43.64286667,119.0204667,781,8,2006,"Wang et al. (2018)",21.39,19.61,13.16,5.58,-4.79,-11.07,1.55,2.69,6.64,10.62,29.2,67.97,119.43,1.54,74.87,73.01,71.53,65.49,63.3,58.77,55.51,59.72,67.62,73,71.18,71.04,-14.16,4.607,0.481,0.573,2975.882,13.466,8087.906,36.597
"28",43.645,119.025,2,"NECTS02",43.64286667,119.0204667,781,8,2006,"Wang et al. (2018)",21.39,19.61,13.16,5.58,-4.79,-11.07,1.55,2.69,6.64,10.62,29.2,67.97,119.43,1.54,74.87,73.01,71.53,65.49,63.3,58.77,55.51,59.72,67.62,73,71.18,71.04,-14.16,4.607,0.481,0.573,2975.882,13.466,8087.906,36.597
"29",43.645,119.025,2,"NECTS02",43.64286667,119.0204667,781,8,2006,"Wang et al. (2018)",21.39,19.61,13.16,5.58,-4.79,-11.07,1.55,2.69,6.64,10.62,29.2,67.97,119.43,1.54,74.87,73.01,71.53,65.49,63.3,58.77,55.51,59.72,67.62,73,71.18,71.04,-14.16,4.607,0.481,0.573,2975.882,13.466,8087.906,36.597
"31",43.645,119.025,2,"NECTS02",43.64286667,119.0204667,781,8,2006,"Wang et al. (2018)",21.39,19.61,13.16,5.58,-4.79,-11.07,1.55,2.69,6.64,10.62,29.2,67.97,119.43,1.54,74.87,73.01,71.53,65.49,63.3,58.77,55.51,59.72,67.62,73,71.18,71.04,-14.16,4.607,0.481,0.573,2975.882,13.466,8087.906,36.597
"36",43.645,119.025,2,"NECTS02",43.64286667,119.0204667,781,8,2006,"Wang et al. (2018)",21.39,19.61,13.16,5.58,-4.79,-11.07,1.55,2.69,6.64,10.62,29.2,67.97,119.43,1.54,74.87,73.01,71.53,65.49,63.3,58.77,55.51,59.72,67.62,73,71.18,71.04,-14.16,4.607,0.481,0.573,2975.882,13.466,8087.906,36.597
"37",43.645,119.025,2,"NECTS02",43.64286667,119.0204667,781,8,2006,"Wang et al. (2018)",21.39,19.61,13.16,5.58,-4.79,-11.07,1.55,2.69,6.64,10.62,29.2,67.97,119.43,1.54,74.87,73.01,71.53,65.49,63.3,58.77,55.51,59.72,67.62,73,71.18,71.04,-14.16,4.607,0.481,0.573,2975.882,13.466,8087.906,36.597
"41",43.645,119.025,2,"NECTS02",43.64286667,119.0204667,781,8,2006,"Wang et al. (2018)",21.39,19.61,13.16,5.58,-4.79,-11.07,1.55,2.69,6.64,10.62,29.2,67.97,119.43,1.54,74.87,73.01,71.53,65.49,63.3,58.77,55.51,59.72,67.62,73,71.18,71.04,-14.16,4.607,0.481,0.573,2975.882,13.466,8087.906,36.597
"339",43.805,125.685,10,"NECTS10",43.80856667,125.6834167,252,8,2006,"Wang et al. (2018)",22.76,21.64,14.88,7.01,-3.49,-11.75,4.13,6.17,15.1,28.24,50.81,102.89,181.49,4.95,61.53,61.42,62.18,56.18,54.66,52.23,44.43,50.14,59.62,62.69,58.19,55.15,-16.13,5.393,0.828,0.855,3297.974,14.402,7608.975,33.227
"353",43.805,125.685,10,"NECTS10",43.80856667,125.6834167,252,8,2006,"Wang et al. (2018)",22.76,21.64,14.88,7.01,-3.49,-11.75,4.13,6.17,15.1,28.24,50.81,102.89,181.49,4.95,61.53,61.42,62.18,56.18,54.66,52.23,44.43,50.14,59.62,62.69,58.19,55.15,-16.13,5.393,0.828,0.855,3297.974,14.402,7608.975,33.227
"359",43.805,125.685,10,"NECTS10",43.80856667,125.6834167,252,8,2006,"Wang et al. (2018)",22.76,21.64,14.88,7.01,-3.49,-11.75,4.13,6.17,15.1,28.24,50.81,102.89,181.49,4.95,61.53,61.42,62.18,56.18,54.66,52.23,44.43,50.14,59.62,62.69,58.19,55.15,-16.13,5.393,0.828,0.855,3297.974,14.402,7608.975,33.227
"365",43.805,125.685,10,"NECTS10",43.80856667,125.6834167,252,8,2006,"Wang et al. (2018)",22.76,21.64,14.88,7.01,-3.49,-11.75,4.13,6.17,15.1,28.24,50.81,102.89,181.49,4.95,61.53,61.42,62.18,56.18,54.66,52.23,44.43,50.14,59.62,62.69,58.19,55.15,-16.13,5.393,0.828,0.855,3297.974,14.402,7608.975,33.227
"379",44.595,123.505,11,"NECTS11",44.59343333,123.5064333,146,8,2006,"Wang et al. (2018)",23.94,22.34,15.68,6.88,-4.22,-12.66,1.18,2.21,7.34,16.51,32.68,68.99,137.85,2.25,70.32,70.9,68.91,62.89,60.06,56.99,52.06,58.06,66.56,69.72,68.36,65.97,-15.66,5.728,0.524,0.615,3434.234,15.129,8009.424,35.284
"389",44.595,123.505,11,"NECTS11",44.59343333,123.5064333,146,8,2006,"Wang et al. (2018)",23.94,22.34,15.68,6.88,-4.22,-12.66,1.18,2.21,7.34,16.51,32.68,68.99,137.85,2.25,70.32,70.9,68.91,62.89,60.06,56.99,52.06,58.06,66.56,69.72,68.36,65.97,-15.66,5.728,0.524,0.615,3434.234,15.129,8009.424,35.284
"410",44.435,123.265,12,"NECTS12",44.43281667,123.2694167,150,8,2006,"Wang et al. (2018)",23.76,22.23,15.53,6.89,-4.29,-12.46,1.16,2.2,7.59,16.67,33.49,68.85,137.15,2.19,71.48,71.29,69.05,62.82,60,56.75,51.75,58.04,66.84,70.23,69.23,67.26,-15.73,5.668,0.525,0.616,3412.902,15.035,8017.722,35.32
"424",43.595,121.845,13,"NECTS13",43.59578333,121.8431667,203,8,2006,"Wang et al. (2018)",23.99,22.45,15.97,7.67,-3.03,-10.65,1.25,2.11,7.17,16.18,32.38,65.05,107.06,1.9,76.35,72.65,71.43,64.02,61.57,57.28,52.05,58.25,68.7,72.01,71.63,72,-13.48,6.585,0.444,0.532,3527.346,15.139,8290.08,35.58
"444",44.385,120.545,15,"NECTS15",44.3873,120.5495333,448,8,2006,"Wang et al. (2018)",22.78,21.03,14.32,6.2,-4.22,-11.17,1.13,1.97,5.49,13.25,28.24,66.85,127.58,1.5,73.74,73.53,73.12,64.97,62.7,57.9,53.87,59.69,67.41,72.63,70.65,70.32,-13.96,5.43,0.478,0.569,3221.58,14.255,8128.28,35.966
"445",44.385,120.545,15,"NECTS15",44.3873,120.5495333,448,8,2006,"Wang et al. (2018)",22.78,21.03,14.32,6.2,-4.22,-11.17,1.13,1.97,5.49,13.25,28.24,66.85,127.58,1.5,73.74,73.53,73.12,64.97,62.7,57.9,53.87,59.69,67.41,72.63,70.65,70.32,-13.96,5.43,0.478,0.569,3221.58,14.255,8128.28,35.966
"446",44.385,120.545,15,"NECTS15",44.3873,120.5495333,448,8,2006,"Wang et al. (2018)",22.78,21.03,14.32,6.2,-4.22,-11.17,1.13,1.97,5.49,13.25,28.24,66.85,127.58,1.5,73.74,73.53,73.12,64.97,62.7,57.9,53.87,59.69,67.41,72.63,70.65,70.32,-13.96,5.43,0.478,0.569,3221.58,14.255,8128.28,35.966
"447",44.385,120.545,15,"NECTS15",44.3873,120.5495333,448,8,2006,"Wang et al. (2018)",22.78,21.03,14.32,6.2,-4.22,-11.17,1.13,1.97,5.49,13.25,28.24,66.85,127.58,1.5,73.74,73.53,73.12,64.97,62.7,57.9,53.87,59.69,67.41,72.63,70.65,70.32,-13.96,5.43,0.478,0.569,3221.58,14.255,8128.28,35.966
"452",44.385,120.545,15,"NECTS15",44.3873,120.5495333,448,8,2006,"Wang et al. (2018)",22.78,21.03,14.32,6.2,-4.22,-11.17,1.13,1.97,5.49,13.25,28.24,66.85,127.58,1.5,73.74,73.53,73.12,64.97,62.7,57.9,53.87,59.69,67.41,72.63,70.65,70.32,-13.96,5.43,0.478,0.569,3221.58,14.255,8128.28,35.966
"467",44.215,120.365,16,"NECTS16",44.21566667,120.3695333,372,8,2006,"Wang et al. (2018)",23.26,21.55,14.75,6.71,-3.94,-10.95,1.16,2.02,5.67,13.25,27.38,63.03,122.56,1.34,74.83,73.78,73.52,65.36,63.16,58.47,54.48,59.76,67.64,72.92,71.21,71.09,-14.11,5.783,0.456,0.546,3330.833,14.609,8216.518,36.037
"472",44.215,120.365,16,"NECTS16",44.21566667,120.3695333,372,8,2006,"Wang et al. (2018)",23.26,21.55,14.75,6.71,-3.94,-10.95,1.16,2.02,5.67,13.25,27.38,63.03,122.56,1.34,74.83,73.78,73.52,65.36,63.16,58.47,54.48,59.76,67.64,72.92,71.21,71.09,-14.11,5.783,0.456,0.546,3330.833,14.609,8216.518,36.037
"486",43.885,119.385,17,"NECTS17",43.88401667,119.3816833,601,8,2006,"Wang et al. (2018)",21.86,20,13.44,5.69,-4.72,-11.39,1.4,2.38,6.21,11.29,28.44,68.43,124.59,1.44,75.8,73.84,73.33,65.75,63.45,58.5,54.98,59.67,67.47,73.15,71.25,71.25,-14,4.82,0.484,0.576,3045.38,13.718,8102.066,36.496
"489",43.885,119.385,17,"NECTS17",43.88401667,119.3816833,601,8,2006,"Wang et al. (2018)",21.86,20,13.44,5.69,-4.72,-11.39,1.4,2.38,6.21,11.29,28.44,68.43,124.59,1.44,75.8,73.84,73.33,65.75,63.45,58.5,54.98,59.67,67.47,73.15,71.25,71.25,-14,4.82,0.484,0.576,3045.38,13.718,8102.066,36.496
"490",43.885,119.385,17,"NECTS17",43.88401667,119.3816833,601,8,2006,"Wang et al. (2018)",21.86,20,13.44,5.69,-4.72,-11.39,1.4,2.38,6.21,11.29,28.44,68.43,124.59,1.44,75.8,73.84,73.33,65.75,63.45,58.5,54.98,59.67,67.47,73.15,71.25,71.25,-14,4.82,0.484,0.576,3045.38,13.718,8102.066,36.496
"500",43.755,119.115,18,"NECTS18",43.7565,119.11995,729,8,2006,"Wang et al. (2018)",21.25,19.43,12.96,5.33,-5.05,-11.43,1.53,2.62,6.56,10.93,29.19,68.67,121.68,1.57,75.07,73.28,72.08,65.54,63.29,58.61,55.26,59.69,67.49,73.03,71.13,71,-14.35,4.388,0.489,0.582,2933.115,13.455,8007.05,36.73
"503",43.755,119.115,18,"NECTS18",43.7565,119.11995,729,8,2006,"Wang et al. (2018)",21.25,19.43,12.96,5.33,-5.05,-11.43,1.53,2.62,6.56,10.93,29.19,68.67,121.68,1.57,75.07,73.28,72.08,65.54,63.29,58.61,55.26,59.69,67.49,73.03,71.13,71,-14.35,4.388,0.489,0.582,2933.115,13.455,8007.05,36.73
"508",43.755,119.115,18,"NECTS18",43.7565,119.11995,729,8,2006,"Wang et al. (2018)",21.25,19.43,12.96,5.33,-5.05,-11.43,1.53,2.62,6.56,10.93,29.19,68.67,121.68,1.57,75.07,73.28,72.08,65.54,63.29,58.61,55.26,59.69,67.49,73.03,71.13,71,-14.35,4.388,0.489,0.582,2933.115,13.455,8007.05,36.73
"509",43.755,119.115,18,"NECTS18",43.7565,119.11995,729,8,2006,"Wang et al. (2018)",21.25,19.43,12.96,5.33,-5.05,-11.43,1.53,2.62,6.56,10.93,29.19,68.67,121.68,1.57,75.07,73.28,72.08,65.54,63.29,58.61,55.26,59.69,67.49,73.03,71.13,71,-14.35,4.388,0.489,0.582,2933.115,13.455,8007.05,36.73
"527",43.335,118.495,19,"NECTS19",43.33721667,118.49415,707,8,2006,"Wang et al. (2018)",21.76,20.1,13.69,6.41,-3.8,-9.95,1.58,2.93,6.71,9.72,28.02,64.32,113.43,1.51,74.23,71.91,71.48,65.53,63.24,59.09,56.06,59.57,67.43,72.37,71.2,70.48,-13.14,5.331,0.454,0.545,3105.717,13.742,8228.334,36.409
"535",43.195,117.765,20,"NECTS20",43.19031667,117.76215,889,8,2006,"Wang et al. (2018)",20.65,18.95,12.45,5.27,-5.15,-12.26,1.99,3.98,6.9,11.06,26.79,62.81,112.82,2.12,72.57,70.74,71.01,65.51,63.45,59.33,56.46,59.09,66.42,71.02,70.32,68.76,-15.25,3.805,0.484,0.578,2834.567,13.063,8003.992,36.885
"537",43.195,117.765,20,"NECTS20",43.19031667,117.76215,889,8,2006,"Wang et al. (2018)",20.65,18.95,12.45,5.27,-5.15,-12.26,1.99,3.98,6.9,11.06,26.79,62.81,112.82,2.12,72.57,70.74,71.01,65.51,63.45,59.33,56.46,59.09,66.42,71.02,70.32,68.76,-15.25,3.805,0.484,0.578,2834.567,13.063,8003.992,36.885
"542",43.195,117.765,20,"NECTS20",43.19031667,117.76215,889,8,2006,"Wang et al. (2018)",20.65,18.95,12.45,5.27,-5.15,-12.26,1.99,3.98,6.9,11.06,26.79,62.81,112.82,2.12,72.57,70.74,71.01,65.51,63.45,59.33,56.46,59.09,66.42,71.02,70.32,68.76,-15.25,3.805,0.484,0.578,2834.567,13.063,8003.992,36.885
"546",43.195,117.765,20,"NECTS20",43.19031667,117.76215,889,8,2006,"Wang et al. (2018)",20.65,18.95,12.45,5.27,-5.15,-12.26,1.99,3.98,6.9,11.06,26.79,62.81,112.82,2.12,72.57,70.74,71.01,65.51,63.45,59.33,56.46,59.09,66.42,71.02,70.32,68.76,-15.25,3.805,0.484,0.578,2834.567,13.063,8003.992,36.885
"548",43.195,117.765,20,"NECTS20",43.19031667,117.76215,889,8,2006,"Wang et al. (2018)",20.65,18.95,12.45,5.27,-5.15,-12.26,1.99,3.98,6.9,11.06,26.79,62.81,112.82,2.12,72.57,70.74,71.01,65.51,63.45,59.33,56.46,59.09,66.42,71.02,70.32,68.76,-15.25,3.805,0.484,0.578,2834.567,13.063,8003.992,36.885
